customerID,tenure,MonthlyCharges,TotalCharges,Contract,InternetService,PaymentMethod,Churn
CUST0,52,53.107180865986656,2908.0718255872666,Month-to-month,DSL,Bank transfer,No
CUST1,15,129.31330532536992,1997.4443124455534,Two year,DSL,Credit card,No
CUST2,61,24.99542536510225,1193.743460025578,One year,No,Electronic check,No
CUST3,21,137.22905897760506,2689.800979473813,Month-to-month,Fiber optic,Bank transfer,No
CUST4,24,79.99207040121544,1895.267902910026,One year,No,Electronic check,No
CUST5,3,102.83619198507645,327.1830508105596,Month-to-month,Fiber optic,Bank transfer,No
CUST6,22,105.71600988675175,2099.711472573754,One year,DSL,Electronic check,No
CUST7,53,136.36530629184972,7709.6965685837185,Month-to-month,Fiber optic,Credit card,Yes
CUST8,2,102.76705868173696,508.8129284141885,Month-to-month,DSL,Electronic check,Yes
CUST9,30,99.81136601880803,3114.7646446427375,Month-to-month,Fiber optic,Electronic check,No
CUST10,38,28.664765272889696,1103.6684526265574,Month-to-month,DSL,Credit card,No
CUST11,2,87.39304285287653,132.34429172552274,Month-to-month,No,Credit card,Yes
CUST12,64,39.52197010621542,2339.0223947933396,Two year,DSL,Electronic check,Yes
CUST13,60,115.86638993379313,6967.479499731361,Month-to-month,No,Credit card,No
CUST14,21,86.58884970564769,1869.9163518471516,Month-to-month,No,Credit card,Yes
CUST15,33,108.42961129708593,3329.825057707511,Month-to-month,Fiber optic,Bank transfer,No
CUST16,58,25.417477078309954,1541.0489539909568,Month-to-month,Fiber optic,Credit card,Yes
CUST17,22,31.02296208595442,651.4533561260474,One year,Fiber optic,Credit card,Yes
CUST18,49,113.1220404481487,5161.418470383808,Month-to-month,No,Electronic check,Yes
CUST19,59,29.37096367982754,1560.8098549539245,Month-to-month,Fiber optic,Electronic check,Yes
CUST20,42,29.26337460948362,1146.3406269139832,Month-to-month,Fiber optic,Bank transfer,Yes
CUST21,60,21.57410178053537,1671.9836383001602,One year,Fiber optic,Electronic check,Yes
CUST22,15,144.3451817789324,2276.4883515907377,Month-to-month,No,Credit card,No
CUST23,62,115.8760867296709,6917.221063419617,Month-to-month,Fiber optic,Credit card,No
CUST24,62,65.92268310526833,4184.413610410164,Month-to-month,Fiber optic,Credit card,Yes
CUST25,47,58.54962556739518,2442.3716038799007,Month-to-month,Fiber optic,Electronic check,Yes
CUST26,62,65.46141986696044,4275.146242528962,Month-to-month,No,Credit card,Yes
CUST27,51,120.70495905355364,6061.7279813676605,One year,Fiber optic,Credit card,Yes
CUST28,55,105.97817943915388,5810.072631405629,One year,DSL,Bank transfer,Yes
CUST29,64,44.07542382277083,3085.986454165771,One year,Fiber optic,Bank transfer,Yes
CUST30,3,42.634213593430964,-129.5300729365571,Month-to-month,No,Bank transfer,Yes
CUST31,51,32.79143446274165,1392.9395205772257,Month-to-month,Fiber optic,Electronic check,Yes
CUST32,7,105.83935356117395,624.1556096590166,Month-to-month,No,Credit card,Yes
CUST33,21,119.36844608882568,2714.413138069203,Two year,DSL,Credit card,No
CUST34,39,54.45603568225052,1819.9161765124018,Month-to-month,Fiber optic,Credit card,Yes
